"","sigma","series"
"2011-08-16",1.23222896643566,-0.0490924279133606
"2011-08-17",1.20383050319199,-0.0562124145196723
"2011-08-18",1.24849388998549,-0.0711976556510976
"2011-08-19",1.22216306188969,-0.106976803865886
"2011-08-22",1.22084017485241,-0.11288545790424
"2011-08-23",1.22895284042761,-0.0963243593756612
"2011-08-24",1.21919587362115,-0.0856353729318941
"2011-08-25",1.38519070073416,-0.141548563661662
"2011-08-26",1.41125505950313,-0.0928144733579564
"2011-08-29",1.40473413931971,-0.0659601496574206
"2011-08-30",1.40664482873348,-0.125972859275863
"2011-08-31",1.36548131204527,-0.12731331449389
"2011-09-01",1.31182004331295,-0.11787347417002
"2011-09-02",1.34276256749339,-0.136485217711964
"2011-09-05",1.3546085362202,-0.154704048980562
"2011-09-06",1.31198070301104,-0.18123504934522
"2011-09-07",1.33851499975884,-0.158626640176158
"2011-09-08",1.37057633887484,-0.148862655920488
"2011-09-09",1.32608011415298,-0.15765778689574
"2011-09-13",1.31801835416895,-0.178045834881473
"2011-09-14",1.29088424902562,-0.175848011811902
"2011-09-15",1.29865311307165,-0.150209672663512
"2011-09-16",1.26043292174852,-0.146784556985711
"2011-09-19",1.28759607366365,-0.0931291935174939
"2011-09-20",1.29998663494749,-0.135355111801322
"2011-09-21",1.45747108579066,-0.214385765146018
"2011-09-22",1.5519560214597,0.000979616580365772
"2011-09-23",1.66341904778953,-0.102175051120715
"2011-09-26",1.61292264534397,-0.0708869297731336
"2011-09-27",1.53991598607904,-0.190448880002945
"2011-09-28",1.48790310181354,-0.107644637309045
"2011-09-29",1.47708336038368,-0.139439187995611
"2011-09-30",1.42301800413472,-0.173869668081637
"2011-10-10",1.43418670505869,-0.140205878606488
"2011-10-11",1.42521716461532,-0.188011995928324
"2011-10-12",1.61121291424503,-0.276536076484856
"2011-10-13",1.58579208161437,-0.173775745643222
"2011-10-14",1.5736117740457,-0.17857335215686
"2011-10-17",1.51671112091458,-0.170454949075331
"2011-10-18",1.54490775660419,-0.143006611438128
"2011-10-19",1.5903438398642,-0.16696017705739
"2011-10-20",1.58995101240318,-0.190524065371707
"2011-10-21",1.595390442826,-0.178608274492733
"2011-10-24",1.64519772592462,-0.156170573636219
"2011-10-25",1.63075144686555,-0.0853124551974515
"2011-10-26",1.57977506046224,-0.0745434877176659
"2011-10-27",1.61905707849227,-0.118348736657187
"2011-10-28",1.59755808597304,-0.0362492655492399
"2011-10-31",1.63998611253805,-0.122693758908797
"2011-11-01",1.65395543776505,-0.109499282527213
"2011-11-02",1.64462464349478,-0.0466476308425275
"2011-11-03",1.58052185575414,-0.11028186995508
"2011-11-04",1.64394405574766,-0.0495569988910938
"2011-11-07",1.59161052245467,-0.149425972416487
"2011-11-08",1.53236478130172,-0.108831073921484
"2011-11-09",1.58746267931729,-0.0542594231197088
"2011-11-10",1.60177998132265,-0.195301856131516
"2011-11-11",1.65201542563618,-0.0976212139270404
"2011-11-14",1.67002425326578,0.00717431829804509
"2011-11-15",1.60508955866707,-0.0638876170747638
"2011-11-16",1.76508714821732,-0.19120605719541
"2011-11-17",1.6329220536613,-0.0983906243532752
"2011-11-18",1.80792098952299,-0.17892079161303
"2011-11-21",2.06697942965894,-0.133039911938373
"2011-11-22",1.87761475539362,-0.148588796678298
"2011-11-23",1.7220230446446,-0.181975605120249
"2011-11-24",1.8259838251166,-0.133580097755506
"2011-11-25",2.5112238049207,-0.160650872516758
"2011-11-28",1.97952331892503,-0.164240408601086
"2011-11-29",4.26872641389044,-0.123274247548417
"2011-11-30",4.33817391731161,-0.192841566861862
"2011-12-01",2.12343079000774,-0.244768138040241
"2011-12-02",1.8581411374501,-0.162476672816749
"2011-12-05",1.73656686252291,-0.165493568119647
"2011-12-06",1.63608522199967,-0.219775596852623
"2011-12-07",1.73620969990486,-0.20236228393424
"2011-12-08",2.29329438161299,-0.19823528383228
"2011-12-09",2.13569219223271,-0.20266907404759
"2011-12-12",2.46501752180429,-0.226310331385264
"2011-12-13",1.66731411750053,-0.215677946104573
"2011-12-14",1.59850061861298,-0.25657511027436
"2011-12-15",1.52875806410019,-0.266328608478129
"2011-12-16",1.54218987439425,-0.329505093960991
"2011-12-19",1.50054426754337,-0.264035963439606
"2011-12-20",1.57254586736572,-0.245043713289999
"2011-12-21",1.51486077923876,-0.249431398160983
"2011-12-22",1.53833514632696,-0.285121843614632
"2011-12-23",1.47568676521876,-0.271218351076072
"2011-12-26",1.45175583508066,-0.246618677184086
"2011-12-27",1.39708955830761,-0.256479513637192
"2011-12-28",1.36365384687111,-0.275436672615891
"2011-12-29",1.33450223893263,-0.273996055977445
"2011-12-30",1.33907591507998,-0.280391363218193
"2012-01-04",1.3459545559052,-0.119185750999715
"2012-01-05",1.35930301302515,-0.176191422368008
"2012-01-06",1.33529615448145,-0.260385306059695
"2012-01-09",1.44625241036598,-0.4010505217259
"2012-01-10",1.58592902261783,-0.231208599876013
"2012-01-11",1.55423750440405,-0.230110852832156
"2012-01-12",1.584718153681,-0.279351149734022
"2012-01-13",1.55973892213389,-0.256661487843033
"2012-01-16",1.53656768494782,-0.272551239304511
"2012-01-17",1.83814374758364,-0.356682197755391
"2012-01-18",1.76544094627727,-0.204145402868003
"2012-01-19",1.73533890122489,-0.338281688152895
"2012-01-20",1.81586938194136,-0.30318044534065
"2012-01-30",1.73677569159632,-0.146449982886086
"2012-01-31",1.82010524546263,-0.28578302381054
"2012-02-01",1.74330772002127,-0.198570569938803
"2012-02-02",1.769812985704,-0.415309484864287
"2012-02-03",1.70713593427443,-0.270166620890598
"2012-02-06",1.67226282589288,-0.205220163130587
"2012-02-07",1.65792785698922,-0.0738990507631083
"2012-02-08",1.68005902501328,-0.439808530966913
"2012-02-09",1.67601469598689,-0.165329657606866
"2012-02-10",1.65162457500041,-0.139961015619281
"2012-02-13",1.66949160297524,-0.162717825399048
"2012-02-14",1.63784570624425,-0.125291156097098
"2012-02-15",1.60820876155768,-0.227347500160482
"2012-02-16",1.58472959210818,-0.0842207790239636
"2012-02-17",1.55702507229211,-0.131330188956239
"2012-02-20",1.52510338787808,-0.138410376439884
"2012-02-21",1.5042123229056,-0.187449684364288
"2012-02-22",1.50976881286772,-0.18115222343148
"2012-02-23",1.4828275154296,-0.103226140859966
"2012-02-24",1.51651909512274,-0.140565152018941
"2012-02-27",1.51530772614719,-0.050673857941076
"2012-02-28",1.47895785670754,-0.0538009533397623
"2012-02-29",1.48550333818608,-0.00303572111300851
"2012-03-01",1.4653224704105,-0.0585216495345814
"2012-03-02",1.46548016878383,-0.0850725534080029
"2012-03-05",1.43594998772549,0.0148985899519625
"2012-03-06",1.43384148771043,0.0554952578362109
"2012-03-07",1.41576735323307,0.0095846777567019
"2012-03-08",1.40099108860509,-0.0561592368403611
"2012-03-09",1.41625527262752,-0.0770044886041013
"2012-03-12",1.38825544724638,-0.00769036921856291
"2012-03-13",1.37196317607661,-0.0637804955260787
"2012-03-14",1.42549888021884,0.154908874954336
"2012-03-15",1.42729968204158,0.035269703599021
"2012-03-16",1.41916427329519,-0.107849239905609
"2012-03-19",1.4088433689661,0.000157118369678695
"2012-03-20",1.41558817910951,0.1535505450437
"2012-03-21",1.41188429395508,-0.00720164111716749
"2012-03-22",1.40574442865294,-0.0213037352571196
"2012-03-23",1.40279617886731,0.0875582924281562
"2012-03-26",1.37002541533258,-0.0660855445884386
"2012-03-27",1.36518491516162,-0.0626306557400893
"2012-03-28",1.42354467582062,0.230487974309991
"2012-03-29",1.41756042179283,0.010017353572382
"2012-03-30",1.41472612541964,-0.192555934337301
"2012-04-05",1.47662836976099,-0.396513574699911
"2012-04-06",1.42266544530125,-0.175861416003387
"2012-04-09",1.40374582801222,-0.0437328283022416
"2012-04-10",1.38157173670516,-0.20268038266616
"2012-04-11",1.35694352283092,-0.126538196100752
"2012-04-12",1.38466848659821,-0.246965272743854
"2012-04-13",1.3572867307645,-0.104850744049795
"2012-04-16",1.35099445016399,-0.0814688887093793
"2012-04-17",1.33867847650773,-0.0201020666856455
"2012-04-18",1.38671592429306,-0.282861044262002
"2012-04-19",1.35526832145943,-0.0555172152444408
"2012-04-20",1.35460053649578,-0.139812172606846
"2012-04-23",1.33270787107879,0.0545611929182165
"2012-04-24",1.30214095624809,-0.00423111470028068
"2012-04-25",1.28200575979057,-0.0845471408465542
"2012-04-26",1.25234294514147,-0.0213761372084815
"2012-04-27",1.22396038296754,0.0361476624203401
"2012-05-02",1.24973460188711,-0.208195516169275
"2012-05-03",1.22786009254957,-0.00495494744534316
"2012-05-04",1.22650407867294,0.0218778128231248
"2012-05-07",1.21978734903012,0.0265957681364582
"2012-05-08",1.19464515803797,0.0457811009415133
"2012-05-09",1.22842188609436,0.0766388752465249
"2012-05-10",1.19791866276235,0.0318776848596073
"2012-05-11",1.18059409119646,0.0314323753405055
"2012-05-14",1.16308253427501,0.0191916600388721
"2012-05-15",1.13545522677139,0.0161762163846129
"2012-05-16",1.15269857131256,0.0709715524451281
"2012-05-17",1.17044672788066,-0.060251951292208
"2012-05-18",1.17834758889873,0.219200719798962
